1,Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
2,叫,jiào,Verb,to be called,我叫大衛。,Wǒ jiào Dàwèi.,My name is David.,你叫什麼名字？,Nǐ jiào shénme míngzi?,What is your name?
3,姓,xìng,Noun/Verb,"surname, one's family name is",我姓程。,Wǒ xìng chéng.,My surname is Cheng.,他姓什麼？,Tā xìng shénme?,What is his surname?
4,名字,míngzi,Noun,name,她的名字是瑪麗。,Tā de míngzi shì Mǎlì.,Her name is Mary.,他叫什麼名字？,Tā jiào shénme míngzi?,What is his name?
5,哪國人,nǎguórén,Phrase,a person of which country,你是哪國人？,Nǐ shì nǎ guó rén?,Which country are you from ?,他是哪國人？,Tā shì nǎ guó rén?,Which country is he from ?
6,你,nǐ,Pronoun,you,你姓程 嗎？,Nǐ xìng chéng ma?,Is your surname Cheng?,你叫大衛嗎？,Nǐ jiào Dàwèi ma?,Is your name David?
7,我,wǒ,Pronoun,"I, me",我不姓程。,Wǒ bú xìng Chéng.,My surname is not Cheng.,我不叫大衛。,Wǒ bú jiào Dàwèi.,My name is not David.
8,認識你很高興,rènshì nǐ hěn gāoxìng,Phrase,It's nice to meet you,"我叫大衛, 認識你很高興。","Wǒ jiào dàwèi, rènshì nǐ hěn gāoxìng.",My name is David. It is nice to meet you.,"第一次見到你, 認識你很高興。","Dì yī cì jiàn dào nǐ, rènshì nǐ hěn gāoxìng.",It is first time to see you. It is nice to meet you.
9,是,shì,Verb,is,"我不是美國人, 我是日本人。","Wǒ bú shì Měiguó rén,wǒ shì Rìběn rén","I'm not American, I'm Japanese.",他是中國人嗎？,Tā shì Zhōngguó rén ma?,Is he Chinese?
10,美國,Měiguó,Noun,United States,他是美國人嗎？,Tā shì Měiguó rén ma?,Is he an American?,A: 你是哪國人？B: 我是美國人。,A: Nǐ shì nǎ guó rén?  B: Wǒ shì Měiguó rén.,A: What country are you from? B: I am American.
11,中國,Zhōngguó,Noun,China,我不是中國人。,Wǒ bú shì Zhōngguó rén.,I'm not Chinese.,你是中國人嗎？,Nǐ shì Zhōngguó rén ma?,Are you Chinese?
12,忙,máng,Adj,busy,你忙嗎？,Nǐ máng ma?,Are you busy?,我很忙。,Wǒ hěn máng.,I am so busy.
13,累,lèi,Adj,"tired , tiring",我很累。,Wǒ hěn lèi.,I am tired.,我不累。,Wǒ bú lèi.,I am not tired.
14,好,hǎo,Adj,good,你好嗎？,Nǐ hǎo ma?,How are you?,我很好。,Wǒ hěn hǎo.,I am pretty good.
15,你們,nǐmen,Pronoun,"you (plural), y'all",你們都是學生嗎？,Nǐmen dōu shì xuéshēng ma?,Are you all students?,你們是美國人嗎？,Nǐmen shì Měiguó rén ma?,Are you all Americans?
16,學生,xuéshēng,Noun,"student, students",我不是學生。,Wǒ bú shì xuéshēng.,I am not a student.,他是學生。,Tā shì xuéshēng.,He is a student.
17,老師,lǎoshī,Noun,teacher,我的老師不是中國人。,Wǒ de lǎoshī bú shì Zhōngguó rén.,My teacher is not Chinese.,我不是老師。,Wǒ bú shì lǎoshī.,I am not a teacher.
18,再見,zàijiàn,Phrase,goodbye,再見！,Zàijiàn.,Goodbye.,再見.明天見!,Zàijiàn. Míngtiān jiàn!,Goodbye. See you tomorrow!
19,日本,Rìběn,Noun,Japan,他不是日本人。,Tā bú shì Rìběn rén.,He is not a Japanese.,我的老師是日本人。,Wǒ de lǎoshī shì Rìběn rén.,My teacher is a Japanese.
20,他,tā,Pronoun,"He, him",他累不累?,Tā lèi búlèi?,Is he tired or not?,他不累。,Tā búlèi.,He is not tired.
21,要,yào,Verb,to want,我要喝咖啡。,Wǒ yào hē kāfēi.,I want to drink coffee.,你要喝中國茶嗎？,Nǐ yào hē Zhōngguó chá ma?,Do you want to drink Chinese tea?
22,喜歡,xǐhuan,Verb,to like,我喜歡中國茶。,Wǒ xǐhuan Zhōngguó chá.,I like Chinese tea,我喜歡美國咖啡。,Wǒ xǐhuan Měiguó kāfēi.,Ｉlike American coffee.
23,喝,hē,Verb,to drink,我很喜歡喝中國茶。,Wǒ hěn xǐhuan hē Zhōngguó chá.,I really like to drink Chinese tea.,你喜歡喝日本茶嗎？,Nǐ xǐhuan hē Rìběn chá ma?,Do you like to drink Japanese tea?
24,吃,chī,Verb,to eat,你喜歡吃什麼？,Nǐ xǐhuan chī shénme?,What do you like to eat?,你喜不喜歡吃美國菜？,Nǐ xǐ bùxǐhuan chī Měiguó cài?,Do you like American food?
25,咖啡,kāfēi,Noun,coffee,你喜不喜歡喝咖啡？,Nǐ xǐ bùxǐhuan hē kāfēi?,Do you like to drink coffee?,你要喝咖啡嗎？,Nǐ yào hē kāfēi ma?,Do you want to drink coffee?
26,菜,cài,Noun,"dish, cuisine",你喜歡哪國菜？,Nǐ xǐhuan nǎ guó cài?,Which country's food do you like?,你喜歡日本菜嗎？,Nǐ xǐhuan Rìběn cài ma?,Do you like Japanese food?
27,茶,chá,Noun,tea,我很喜歡喝茶。,Wǒ hěn xǐhuan hē chá.,I really like to drink tea.,我喜歡中國茶.,Wǒ xǐhuan Zhōngguó chá.,I like Chinese tea.
28,口,kǒu,Measure word,measure word for family members,我家有三口人,Wǒ jiā yǒu sān kǒu rén.,There are three people in my family.,他家有五口人。,Tā jiā yǒu wǔ kǒu rén.,There are five people in his family.
29,個,gè,Measure word,"general measure word, measure word for people",我有兩個妹妹。,Wǒ yǒu lǐang gè mèimei.,I have two younger sisters.,我有一個妹妹和一個弟弟。,Wǒ yǒu yí gè mèimei hé yí gè dìdi.,I have one younger sister and one younger brother.
30,爸爸,bàba,Noun,father,我的爸爸有一個姐姐。,Wǒ de bàba yǒu yí gè jiějie.,My father has an older sister.,我的爸爸是中國人。,Wǒ de bàba shì Zhōngguó rén.,My father is Chinese.
31,媽媽,māma,Noun,mother,他的媽媽是瑪麗。,Tā de māma shì Mǎlì.,His mother is Mary.,他的媽媽和爸爸都是老師。,Tā de māma hé bàba dōu shì lǎoshī.,His mother and father are both teachers.
32,哥哥,gēge,Noun,older brother,我有兩個哥哥。,Wǒ yǒu liǎng gè gēge.,I have two older brothers.,我的哥哥喜歡喝日本茶。,Wǒ de gēge xǐhuan hē Rìběn chá.,My older brother likes to drink Japanese tea.
33,姐姐,jiějie,Noun,older sister,他的姐姐叫瑪麗。,Tā de jiějie jiào Mǎlì.,His older sister is called Mary.,他有兩個姐姐。,Tā yǒu liǎng gè jiějie.,He has two older sisters.
34,弟弟,dìdi,Noun,younger brother,你有沒有弟弟？,Nǐ yǒu méiyǒu dìdi?,Do you have younger brothers?,我和我弟弟都喜歡吃日本菜。,Wǒ hé wǒ dìdi dōu xǐhuan chī Rìběn cài.,My brother and I both like Japanese dish.
35,妹妹,mèimei,Noun,younger sister,你的妹妹叫什麼名字?,Nǐ de mèimei jiào shénme míngzì?,What is your younger sister's name?,他的妹妹很好看。,Tā de mèimei hěn hǎokàn.,His younger sister is good-looking.
36,家,jiā,Noun,"home, family",我家有三口人。,Wǒ jiā yǒu sān kǒu rén.,There are three people in my family.,你家有幾口人？,Nǐ jiā yǒu jǐ kǒu rén?,How many people are there in your family?
